step,true_distance_cm,observed_distance_cm,estimated_distance_cm,target_distance_cm,control_error_cm,predicted_next_distance_cm,prediction_error_cm,action_value,servo_angle,led_intensity,reason,disturbance
100,35.82478634828337,36.45539935043416,28.039710867520864,30.0,-1.9602891324791365,28.347679978251293,12.493957675709197,-1.8615681382963734,82,15,distance_too_small_increase_distance,-0.3169176693760213
101,40.10441242400221,39.892684138085244,32.1882515122184,30.0,2.1882515122184003,32.33717696328211,11.545004159833951,-0.17061375790563382,89,17,distance_too_large_reduce_distance,-0.13235689391378638
102,44.12085027026445,43.30161644828064,36.07792923984019,30.0,6.077929239840188,36.09157834047264,10.964439484998529,1.4972699845364545,95,48,distance_too_large_reduce_distance,0.4547299042251229
103,47.73012124903183,48.57166497938731,40.45073674868168,30.0,10.450736748681678,40.33095514991876,12.48008663891467,3.59689874134844,104,83,distance_too_large_reduce_distance,-0.12469238987149907
104,50.811897882425804,51.601480672861015,44.35349712214445,30.0,14.353497122144447,44.06574522283657,11.270525522942258,5.347950185251651,111,114,distance_too_large_reduce_distance,0.25813044896348025
105,53.23377582726189,52.8614517116453,47.33128122846975,30.0,17.33128122846975,46.90344521364962,8.795706488808733,6.655093949565082,116,138,distance_too_large_reduce_distance,-0.3267661880034569
106,54.95011964273156,54.35665333253602,49.79016146489295,30.0,19.790161464892947,49.25775394892774,7.453208118886401,7.870517219457757,121,158,distance_too_large_reduce_distance,-0.0719031452536705
107,55.90005262760079,56.92250206988025,52.286480676638504,30.0,22.286480676638504,51.65683929908188,7.66474812095251,9.261505073111387,127,178,distance_too_large_reduce_distance,-0.3325077192187034
108,56.03663681885201,55.596694048033356,53.445055356626696,30.0,23.445055356626696,52.704134950777785,3.9398547489514755,9.805478472069206,129,187,distance_too_large_reduce_distance,-0.11866157656519685
109,55.39392723135561,55.263237353130734,54.08141905540311,30.0,24.08141905540311,53.29698077763757,2.5591024023529485,10.319086095519756,131,192,distance_too_large_reduce_distance,0.2941078481100884
110,53.94045231993652,55.38122601126282,54.53635148995401,30.0,24.536351489954008,53.71082460231243,2.0842452336252464,10.83828811225083,133,196,distance_too_large_reduce_distance,-0.604562148117322
111,51.729260017098746,51.87874820166766,53.60619033905378,30.0,23.606190339053782,52.73912729007372,-1.832076400644766,10.496992695159296,131,188,distance_too_large_reduce_distance,0.15204827524105005
112,48.837252132887684,48.44091574290827,51.798344230402854,30.0,21.798344230402854,50.95858481479011,-4.298211547165451,9.871581802276793,129,174,distance_too_large_reduce_distance,0.08320746081629726
113,45.347560632164566,43.76643023741293,48.987174332856384,30.0,18.987174332856384,48.19744778867424,-7.192154577377174,8.754966826743102,125,151,distance_too_large_reduce_distance,-0.20795248449387804
114,41.376444177900815,41.40476935734667,46.33333259142799,30.0,16.33333259142799,45.63293524528854,-6.792678431327566,7.919965478560573,121,130,distance_too_large_reduce_distance,-0.5061202490359591
115,37.05097090353568,36.981698556902,43.0602606793439,30.0,13.060260679343898,42.426663441059056,-8.65123668838654,6.604948548131159,116,104,distance_too_large_reduce_distance,0.02524532769985433
116,32.49061875211699,31.991545593277074,39.186210399220506,30.0,9.186210399220506,38.65781451537001,-10.435117847781981,4.983425345498997,109,73,distance_too_large_reduce_distance,-0.18532244817233084
117,27.85488905735639,28.595326692703168,35.47940110193944,30.0,5.4794011019394375,35.08072707429952,-10.062487822666846,3.5455494733953508,104,43,distance_too_large_reduce_distance,0.08143667397414638
118,23.26039889590407,22.227267973787196,30.841154507086152,30.0,0.8411545070861521,30.557510549214523,-12.853459100512321,1.4051870156973756,95,6,stable_near_target,0.007648250933205007
119,18.903139215095738,17.636838101174693,26.219643765017143,30.0,-3.7803562349828574,26.107228803761352,-12.92067244803983,-0.5888709518838107,87,30,distance_too_small_increase_distance,0.5606226119623203
120,14.893808664613914,14.263277023205847,22.034915405383188,30.0,-7.965084594616812,22.082025081533892,-11.843951780555505,-2.369841007713612,80,63,distance_too_small_increase_distance,-0.0837744696155585
121,11.336807327162024,11.293278000387657,18.275342313634752,30.0,-11.724657686365248,18.464929594251842,-10.788747081146235,-4.03119741260862,73,93,distance_too_small_increase_distance,-0.3582241224176527
